"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1987124,169963,116532,"CIREP IV INSTITUTIONAL FEEDER, L.P.",805-7292405579,"","Cayman Islands","N","Y"
1987124,485675,152641,"CERBERUS SFR FOO FEEDER, L.P.",805-6168584862,"","Cayman Islands","N","Y"
1992012,433097,150972,"KING STREET REAL ESTATE SPECIAL SITUATIONS (EUROPE) USD FEEDER II, L.P.",805-7251477192,"","Cayman Islands","N","Y"
1992012,433097,150971,"KING STREET REAL ESTATE SPECIAL SITUATIONS (EUROPE) EUR FEEDER II, L.P.",805-4908275569,"","Cayman Islands","N","Y"
1992012,428360,148826,"LUMYNA - KING STREET UNLEVERED COF",805-5451627214,"","Luxembourg","N","Y"
1992012,6574,1884,"KING STREET CAPITAL, LTD.",805-8621227844,"","British Virgin Islands","N","Y"
1992012,6588,131710,"KING STREET EUROPE, L.P.",805-8543925299,"Delaware","United States","N","Y"
1992012,6588,1885,"KING STREET EUROPE, LTD.",805-5681287396,"","British Virgin Islands","N","Y"
1992012,417760,150980,"KS-G DISLOCATION TRIGGER FUND, L.P.",805-6487892742,"","Cayman Islands","N","Y"
1992012,368340,150970,"KING STREET REAL ESTATE FUND (EUROPE PF) III, L.P.",805-5645669997,"","Cayman Islands","N","Y"
1992009,378616,146038,"HARBOURVEST PRIVATE EQUITY CONTINUATION SOLUTIONS FEEDER AIF SCSP",805-3515023840,"","Luxembourg","N","Y"
1992009,378708,146052,"HARBOURVEST DIRECT LENDING II (LR) FUND L.P.",805-4227520577,"Delaware","United States","N","Y"
1992009,17880,3528,"HARBOURVEST PARTNERS CAYMAN CLEANTECH FUND I L.P.",805-6697137535,"","Cayman Islands","N","Y"
1992009,71324,117419,"HIPEP VII EMERGING MARKETS FEEDER FUND L.P.",805-4960388411,"","Cayman Islands","N","Y"
1992009,235600,140993,"HARBOURVEST ACCESS-2020 GLOBAL FUND CAYMAN LLC",805-2019297683,"","Cayman Islands","N","Y"
1992009,215678,126630,"HARBOURVEST ADELAIDE FEEDER A L.P.",805-1926919624,"","Cayman Islands","N","Y"
1992009,187383,123036,"HARBOURVEST ACCESS - 2017 GLOBAL FUND L.P.",805-5559680082,"Delaware","United States","N","Y"
1992009,72382,117398,"HARBOURVEST PARTNERS X BUYOUT FEEDER FUND L.P.",805-6327858139,"","Cayman Islands","N","Y"
1992009,72243,117402,"HARBOURVEST PARTNERS CAYMAN MEZZANINE INCOME FUND L.P.",805-8701374074,"","Cayman Islands","N","Y"
1992009,337502,143014,"HABOURVEST CREDIT OPPORTUNITIES III FEEDER AIF SCSP",805-7980616435,"","Luxembourg","N","Y"
1992009,337396,143008,"HARBOURVEST 2022 GLOBAL FEEDER FUND L.P.",805-5973490228,"","Cayman Islands","N","Y"
1992009,337399,143009,"HARBOURVEST 2022 GLOBAL FEEDER AIF SCSP",805-4982868967,"","Luxembourg","N","Y"
1992009,337396,143360,"HARBOURVEST ACCESS - 2022 GLOBAL FUND CAYMAN LLC",805-4151970214,"","Cayman Islands","N","Y"
1992009,18162,3580,"HARBOURVEST PARTNERS IX-CAYMAN BUYOUT FUND L.P.",805-4396070571,"","Cayman Islands","N","Y"
1992009,200356,126801,"HARBOURVEST 2018 GLOBAL FEEDER AIF L.P.",805-6159234421,"","United Kingdom","N","Y"
1992009,478042,151573,"HARBOURVEST CO-INVESMENT VII GROWTH FEEDER FUND L.P.",805-2130052406,"","Cayman Islands","N","Y"
1992009,477471,151494,"HARBOURVEST 2024 GLOBAL FEEDER FUND L.P.",805-8224664467,"","Cayman Islands","N","Y"
1992009,478004,151569,"VANGUARD HARBOURVEST 2024 PRIVATE EQUITY FEEDER FUND L.P.",805-5414746905,"","Cayman Islands","N","Y"
1992009,477951,151548,"HARBOURVEST PARTNERS XIII VENTURE FEEDER FUND L.P.",805-9318806749,"","Cayman Islands","N","Y"
1989668,23076,12484,"PINEBRIDGE CREDIT OPPORTUNITIES PORTFOLIO II FEEDER, LTD",805-6705885337,"","Cayman Islands","Y","Y"
1989668,224541,127985,"PINEBRIDGE GLOBAL OPPORTUNISTIC DM CREDIT FUND (CAYMAN) L.P.",805-9803693310,"","Cayman Islands","N","Y"
1989668,224532,127977,"PSOP FEEDER L.P.",805-7457254388,"","Cayman Islands","Y","Y"
1989668,176926,117776,"PINEBRIDGE STRUCTURED CAPITAL PARTNERS III (FEEDER), L.P.",805-8977270070,"","Cayman Islands","N","Y"
1989668,263840,135062,"PSP V RH FEEDER, L.P.",805-3616173687,"","Cayman Islands","Y","Y"
1989668,23231,5940,"PINEBRIDGE SECONDARY PARTNERS FEEDER LTD.",805-6926561782,"","Cayman Islands","N","Y"
1989668,263809,135061,"PINEBRIDGE PRIVATE CREDIT II PARALLEL RFF, L.P.",805-6456176101,"Delaware","United States","N","Y"
1989668,263754,135060,"PINEBRIDGE PRIVATE CREDIT II RFF, L.P.",805-4696459336,"Delaware","United States","N","Y"
1989668,240197,131986,"PINEBRIDGE SECONDARY PARTNERS V FEEDER, SLP",805-5829444635,"","Luxembourg","Y","Y"
1989668,23269,123787,"PINEBRIDGE SENIOR SECURED LOAN SUB-TRUST 2",805-8894082418,"","Cayman Islands","N","Y"
1989668,224541,127984,"PINEBRIDGE GLOBAL OPPORTUNISTIC DM CREDIT FUND L.P.",805-7190433218,"Delaware","United States","N","Y"
1989668,185503,127642,"PINEBRIDGE SECONDARY PARTNERS IV FEEDER, SLP",805-6610438127,"","Luxembourg","N","Y"
1989668,224546,127987,"PINEBRIDGE PRIVATE CREDIT (FEEDER A), L.P.",805-4982901326,"Delaware","United States","N","Y"
1989668,69694,123771,"GLOBAL SECURED CREDIT SUB-FUND",805-6673378922,"","Luxembourg","N","Y"
1989668,318399,145203,"PINEBRIDGE PRIVATE CREDIT III SERIES FEEDER, L.P. - SERIES C",805-8394982103,"Delaware","United States","N","Y"
1989668,318399,151052,"PINEBRIDGE PRIVATE CREDIT III PARALLEL RFF (A), L.P.",805-9110430882,"Delaware","United States","N","Y"
1989668,456836,151047,"PINEBRIDGE SECONDARY PARTNERS VI FEEDER, SLP",805-2891415621,"","Luxembourg","Y","Y"
1989668,318399,151051,"PINEBRIDGE PRIVATE CREDIT III PARALLEL FEEDER (S), L.P.",805-7210624333,"Delaware","United States","N","Y"
1990039,377650,151502,"BRASA REAL ESTATE FUND III FEEDER, LP",805-7872439065,"Delaware","United States","N","Y"
1990039,277879,151501,"BRASA REAL ESTATE FUND II FEEDER, LP",805-3429397983,"Delaware","United States","N","Y"
1990438,423166,147252,"REGENTS GATE CAPITAL FUND LIMITED",805-8543677107,"","Cayman Islands","N","Y"
1990438,423166,147253,"REGENTS GATE CAPITAL FUND LP",805-1028386589,"","Cayman Islands","N","Y"
