"FilingID","ReferenceID","Private Fund Name","Fund ID"
1978990,426670,"JAIN GLOBAL OFFSHORE FUND LTD",805-2338223329
1984510,195499,"AMPFIELD HOLDINGS (OFFSHORE) (H), LTD.",805-6544587191
1984510,195499,"AMPFIELD HOLDINGS (ONSHORE), L.P.",805-9439079441
1984510,195499,"AMPFIELD HOLDINGS (OFFSHORE), L.P.",805-4586752637
1984510,474730,"AMPFIELD CO-INVESTMENT (OFFSHORE), LTD.",805-4091660780
1974031,479674,"DB PYRAMID JPY FEEDER CAYMAN, LP",805-7060563300
1974031,289009,"DC TRIDENT HOLDINGS II LUX AZ, SCSP",805-4606522728
1974031,357553,"DB SUNSHINE REVERSE CAYMAN FEEDER, LP",805-5286206239
1974031,479614,"DB DINO ONTARIO REVERSE FEEDER, LP",805-7728229266
1974031,362639,"DBP II WALTZ HOLDINGS LUX AZ, SCSP",805-9712603472
1974031,362639,"DBP II WALTZ HOLDINGS II REVERSE",805-2186381419
1974031,362639,"CAYMAN FEEDER (EURO), LP",805-9092437163
1974031,362639,"CAYMAN FEEDER 2 (EURO), LP",805-6851247306
1974031,252162,"DIGITALBRIDGE CONCENTRATED ALPHA FUND, LTD",805-8732175848
1974031,252162,"DIGITALBRIDGE CONCENTRATED ALPHA FUND, LP",805-3354740616
1974031,378251,"DB SUNSHINE REVERSE CAYMAN FEEDER, LP",805-3347335015
1974988,29478,"OXFORD UNIVERSITY FEEDER FUND II L.P.",805-1554126197
1974988,252428,"CAFE FEEDER FUND, LP",805-6497395742
